Date,Indian rupee (INR)
25-11-1980,4795.56
26-11-1980,4882.58
27-11-1980,4844.76
28-11-1980,4871.92
01-12-1980,4990.41
02-12-1980,4945.45
03-12-1980,4945.17
04-12-1980,4988.28
05-12-1980,4893.55
08-12-1980,4846.85
09-12-1980,4841.07
10-12-1980,4691.77
11-12-1980,4572.94
12-12-1980,4366.03
15-12-1980,4588.74
16-12-1980,4444.58
17-12-1980,4530.23
18-12-1980,4575.87
19-12-1980,4423.58
22-12-1980,4692.4
23-12-1980,4742.89
24-12-1980,4739.7
25-12-1980,4739.7
26-12-1980,4739.7
29-12-1980,4759.57
30-12-1980,4609.43
31-12-1980,4620.33
01-01-1981,4620.33
02-01-1981,4648.5
05-01-1981,4604.66
06-01-1981,4705.55
07-01-1981,4647.04
08-01-1981,4540.33
09-01-1981,4603.13
12-01-1981,4471.73
13-01-1981,4507.24
14-01-1981,4461.92
15-01-1981,4494.8
16-01-1981,4474.68
19-01-1981,4421.78
20-01-1981,4444.65
21-01-1981,4561.23
22-01-1981,4532.77
23-01-1981,4401.75
26-01-1981,4197.28
27-01-1981,4154.43
28-01-1981,4187.03
29-01-1981,4063.94
30-01-1981,4123.21
02-02-1981,4024.97
03-02-1981,4034.72
04-02-1981,4071.8
05-02-1981,4040.87
06-02-1981,4111.96
09-02-1981,4180.73
10-02-1981,4217.49
11-02-1981,4111.03
12-02-1981,4056.8
13-02-1981,4018.13
16-02-1981,4006.9
17-02-1981,4096.48
18-02-1981,4120.69
19-02-1981,4118.75
20-02-1981,4219.94
23-02-1981,4218.02
24-02-1981,4167.66
25-02-1981,4204.24
26-02-1981,4100.68
27-02-1981,4082.88
02-03-1981,3895.23
03-03-1981,3807.79
04-03-1981,3919.37
05-03-1981,3756.33
06-03-1981,3814.74
09-03-1981,3847.16
10-03-1981,3938.59
11-03-1981,3885.51
12-03-1981,3895.66
13-03-1981,4043.22
16-03-1981,4041.78
17-03-1981,4077.69
18-03-1981,4166.05
19-03-1981,4059.98
20-03-1981,4209.54
23-03-1981,4381.81
24-03-1981,4355.65
25-03-1981,4391.73
26-03-1981,4424.8
27-03-1981,4543.97
30-03-1981,4350.26
31-03-1981,4240.49
01-04-1981,4269.62
02-04-1981,4291.26
03-04-1981,4351.25
06-04-1981,4433.2
07-04-1981,4330.66
08-04-1981,4168
09-04-1981,4214.21
10-04-1981,4061.77
13-04-1981,3910.33
14-04-1981,3993.05
15-04-1981,4009.37
16-04-1981,3967.8
17-04-1981,3967.8
20-04-1981,3967.8
21-04-1981,3986.41
22-04-1981,4061.62
23-04-1981,4029.48
24-04-1981,4063.67
27-04-1981,4019.8
28-04-1981,4020.41
29-04-1981,3975.74
30-04-1981,3998.47
01-05-1981,3996.96
04-05-1981,3996.96
05-05-1981,3964.91
06-05-1981,4010.74
07-05-1981,4003.7
08-05-1981,3999.87
11-05-1981,4166.26
12-05-1981,4077.58
13-05-1981,4106.38
14-05-1981,4061.17
15-05-1981,4078.85
18-05-1981,4023.78
19-05-1981,4091.23
20-05-1981,4035.01
21-05-1981,4079.85
22-05-1981,3956.26
25-05-1981,3956.26
26-05-1981,3976.45
27-05-1981,3980.62
28-05-1981,3990.8
29-05-1981,4046.47
01-06-1981,4080.15
02-06-1981,4063.6
03-06-1981,4103.82
04-06-1981,4083.71
05-06-1981,4022.99
08-06-1981,3971.97
09-06-1981,4030.41
10-06-1981,3978.85
11-06-1981,4014.26
12-06-1981,4020.01
15-06-1981,3986.1
16-06-1981,3974.81
17-06-1981,3930.35
18-06-1981,3946.38
19-06-1981,3922.58
22-06-1981,3930.19
23-06-1981,3962.81
24-06-1981,3983.51
25-06-1981,3963.86
26-06-1981,3847.1
29-06-1981,3779.51
30-06-1981,3703.76
01-07-1981,3723.05
02-07-1981,3620.99
03-07-1981,3641.41
06-07-1981,3513.77
07-07-1981,3550.72
08-07-1981,3552.97
09-07-1981,3610.1
10-07-1981,3666.83
13-07-1981,3695.38
14-07-1981,3596.07
15-07-1981,3590.94
16-07-1981,3697.87
17-07-1981,3651.76
20-07-1981,3684.25
21-07-1981,3666.3
22-07-1981,3635.38
23-07-1981,3687.24
24-07-1981,3628.48
27-07-1981,3655.48
28-07-1981,3585.42
29-07-1981,3597.97
30-07-1981,3596.81
31-07-1981,3655.12
03-08-1981,3581.66
04-08-1981,3597.02
05-08-1981,3563.7
06-08-1981,3607.37
07-08-1981,3651.11
10-08-1981,3608.87
11-08-1981,3640.97
12-08-1981,3671.53
13-08-1981,3688.93
14-08-1981,3716.02
17-08-1981,3669.21
18-08-1981,3799.36
19-08-1981,3891.89
20-08-1981,3831.98
21-08-1981,3784.78
24-08-1981,3838.07
25-08-1981,3714.8
26-08-1981,3694.87
27-08-1981,3728.43
28-08-1981,3820.06
31-08-1981,3820.06
01-09-1981,3818.28
02-09-1981,3883.78
03-09-1981,3915.03
04-09-1981,3961.01
07-09-1981,3984.82
08-09-1981,3994.96
09-09-1981,4015.05
10-09-1981,4037.58
11-09-1981,4134.65
14-09-1981,4189.57
15-09-1981,4055.56
16-09-1981,4036.72
17-09-1981,4154.32
18-09-1981,4050.46
21-09-1981,4141.22
22-09-1981,4200.68
23-09-1981,4219.69
24-09-1981,4158.83
25-09-1981,4173.47
28-09-1981,3907.2
29-09-1981,3956.45
30-09-1981,3870.4
01-10-1981,3940.61
02-10-1981,3946.19
05-10-1981,3978.21
06-10-1981,3977.69
07-10-1981,4015.1
08-10-1981,3948.11
09-10-1981,4101.17
12-10-1981,4125.19
13-10-1981,4073.01
14-10-1981,4061.86
15-10-1981,4093.46
16-10-1981,4031.5
19-10-1981,4033.56
20-10-1981,4064.64
21-10-1981,4026.17
22-10-1981,4012.59
23-10-1981,3993.68
26-10-1981,3983.6
27-10-1981,3923.47
28-10-1981,3928.44
